,Intercept,Slope,R.squared,slope.std
CLEC4G,0.146319586638618,0.840336768250478,0.8,0.214538727084196
CLEC7A,0.0150533640809454,0.94147471236885,0.9,0.165483618291843
CLMP,0.0099701508229487,0.769806705776589,0.6,0.318555624381671
CLPS,0.165450489974593,0.911559686769299,0.9,0.167353913479516
CLSTN2,0.000281780664218911,0.99168392425627,0.9,0.165815546374765
CLUL1,0.0352515280049682,0.973344250909424,0.9,0.112633623702689
CNDP1,-0.0296565243926226,1.00077086560383,1,0.0926922410765411
CNTN1,-0.0104469691348135,0.912699150630012,0.8,0.249353991577056
CNTN2,0.0466087795891613,0.941991062608658,0.9,0.106251929815409
CNTN3,-0.200719248618501,0.700984724727725,0.7,0.210628782754541
CNTN4,0.222136939755063,0.598740966193301,0.6,0.254769900029424
CNTN5,0.108980303531127,0.906237952998299,0.9,0.123078861157606
CNTNAP2,0.14369935467327,0.90093977867778,0.9,0.156550506823014
COL18A1,0.287059945339908,0.743339473975584,0.7,0.222692812159649
COL1A1,0.081080262583732,0.926930109035746,1,0.0781243793745625
COL4A1,-0.105940952039752,1.00712718407921,0.9,0.203665932516603
COL6A3,0.154039578685698,0.841098284439872,0.8,0.181303157224412
COL9A1,0.308942112906895,0.948297122923701,1,0.0364821670310239
COLEC12,0.254823144807206,0.665747293249417,0.6,0.239230533297651
COMP,0.0184994900018831,0.966894394160514,0.8,0.200251665430228
COPE,-0.0280630909676134,0.878965180362507,0.8,0.244205554256188
CPA1,0.0112608644586274,0.914560671361653,0.9,0.126455676553284
CPA2,-0.0356112595572205,1.01052207018499,0.9,0.115958304737257
CPB1,-0.0107884257891265,0.85047664787514,0.9,0.127209878539208
CPE,0.0504986874841164,0.839982786475792,0.6,0.308537323082173
CPM,0.011177553971854,0.942810281007732,0.8,0.202479788149806
CPVL,-0.0333426135811548,0.548356295029225,0.8,0.112530111208509
CR2,0.102575101093332,0.932387323625644,0.9,0.108504105805988
CRELD2,0.702205791088796,0.522829077650721,0.5,0.269314341259775
CRH,0.042267301131921,0.998410659515381,1,0.0851486796227061
CRHBP,0.181224605795959,0.835238973014032,0.6,0.298117482813916
CRIM1,-0.0080871092468212,0.956851879088096,0.6,0.375334048712575
CRISP2,0.0238043543188373,1.02921950967762,0.9,0.153832350471214
CRNN,0.197552757378079,0.891150457080692,0.9,0.124697176051925
CRTAC1,-0.10469850567996,0.807896896805445,0.9,0.156005781341831
CRTAM,0.140576050321165,0.86010486828531,1,0.0880081058292366
CRX,0.0438204588091167,1.12331190804129,0.8,0.251494477093896
CSF1,0.115150036646163,0.838184358148387,0.8,0.20326207978488
CSF2RA,-0.0386458404806538,0.637297327911102,0.6,0.253982807782328
CST3,0.199168404108021,0.807416365926975,0.7,0.239837201883169
CST5,-0.195932975792047,0.695163353990554,0.8,0.180718226311845
CST6,0.0164434358374936,0.76906404845794,0.8,0.207482620356446
CST7,0.257244956875514,0.826127837527358,0.7,0.237353164300124
CTRB1,0.0879918045950539,0.889685109709348,0.9,0.123352790655535
CTRC,0.44493749322036,0.67448874171903,0.8,0.138175292667131
CTSB,0.0415602785324287,0.924382619320729,0.9,0.11923215581162
CTSD,-0.0937465346105951,1.22517236029454,0.6,0.489251407984662
CTSF,0.0503208386454113,0.925329983563055,0.7,0.271435306013703
CTSH,0.0982278447538783,0.857203874133463,0.9,0.163553901180482
CTSL,-0.0115868445386988,1.01315741027448,0.9,0.152268862109204
CTSO,-0.0588287809583298,1.09249295170517,0.9,0.216133861142561
CTSV,-0.0792985860894798,0.775967454714628,0.7,0.220364916723782
CTSZ,-0.0322998063512542,0.977245058701344,0.7,0.2865107319585
CX3CL1,0.142440271815694,0.769855828214716,0.6,0.312629286366786
CXADR,0.261123742115261,0.892243878637517,0.9,0.171384683948609
CXCL1,2.59263632035221,0.501161640003795,0.5,0.252982687146773
CXCL10,0.192803579675333,0.910303823510514,1,0.0835173760244895
CXCL11,2.27924347747841,0.75149966740382,0.5,0.337158211179217
CXCL12,0.226632802183231,0.837655942977209,0.5,0.432382160215944
CXCL13,0.636894289189782,0.846487575180359,0.9,0.108786329477953
CXCL14,0.0167601519137676,1.16713186931743,0.5,0.521076829067831
CXCL16,-0.0550999181675972,1.07813088834104,0.9,0.168029198629814
CXCL17,0.0566061004163039,0.927331653483218,0.8,0.252750256602794
CXCL9,0.163864497881313,0.902119388190075,0.9,0.119890940650282
DCBLD2,0.0114929384721037,1.13751720483604,0.7,0.379948619529847
DCTN6,-0.158837928898765,0.560965613553552,0.5,0.294283553832006
DCTPP1,0.458034190274057,0.59080875492419,0.5,0.293322142809934
DDC,-0.128149322228477,1.17968014736752,0.9,0.165712432225319
DDR1,0.085621965840764,0.827281127472957,0.6,0.307306805582172
DEFB4A_DEFB4B,0.0977690830971879,0.917184347282752,0.9,0.139860285397606
DKK3,0.0123527274703238,0.932117105288249,0.8,0.219044123344364
DKKL1,-0.0388496091746559,0.989108588675429,0.9,0.169030208062311
DLK1,-0.0269060517065433,1.03312938682839,1,0.112167811795753
DLL1,0.0931163227069503,0.892225756106075,0.8,0.222260937486764
DNER,-0.0144442920354127,0.934653046356473,0.8,0.225526705910391
DPEP1,-0.0479061173346674,0.961068012102254,0.8,0.267841376916812
DPP10,-0.12725773609905,1.14910393321208,0.8,0.283966570149841
DPP4,0.0907881658852768,0.834194006102485,0.7,0.252897925605338
DPP6,0.365471649569874,0.801070449609806,0.8,0.219005052707852
DPT,-0.00676251882336887,0.883806203324926,0.9,0.13323573697217
DRAXIN,0.122943193747566,0.947963166543815,0.9,0.140881106890328
DSC2,0.108493798583058,0.919387901120848,0.8,0.249953498624289
DSG2,-0.0747728335128577,1.07445667187484,0.6,0.46497422185057
DSG3,0.0390484888670005,0.882152619149377,0.7,0.294072819037407
DSG4,-0.0816372259841718,0.995990112387221,0.9,0.187426952863772
DUOX2,-0.131419061097972,0.978583438743807,0.9,0.164280521685615
DUSP3,0.0847991191378556,0.847231708423024,0.7,0.273970593065838
EBI3_IL27,0.0632095282056846,0.83311292525354,0.9,0.127380508680935
EDA2R,-0.0378602630281568,0.971907654851347,1,0.0968745929870679
EDIL3,0.359975161645173,0.834810889737816,0.8,0.19156926265135
EFEMP1,0.0946532718062672,0.826632529219657,0.7,0.278759397920419
EFNA1,0.212779956272943,0.76989307537618,0.7,0.255111750760988
EFNA4,0.425447488548768,0.586993409447019,0.6,0.252314271747064
EGFR,0.0304367132863622,0.940516494570041,0.7,0.300971779580268
ENPP2,0.131267479652319,0.875844197993082,0.9,0.146092312506583
ENPP5,0.0175119324997781,0.955521680189584,0.8,0.203566763640603
ENPP7,0.00579170931078007,0.985593640582645,1,0.0819298090090409
ENTPD2,0.167687591231334,0.727585067533919,0.5,0.378392842896065
ENTPD5,0.00108067376832978,0.976438415834513,0.6,0.415242644893481
ENTPD6,0.146311822530329,0.773149487205872,0.6,0.315056160119398
EPCAM,-0.0227291950325835,1.06051640633481,1,0.106617646415323
EPHA1,0.0680202215824488,1.00729950104665,0.8,0.208463107159671
EPHA10,-0.176487557564054,0.859005291002494,0.7,0.253099849343192
EPHA2,0.210131612137584,0.879251490654086,0.7,0.310736726478219
EPHB4,0.0928370920450679,0.84063186956807,0.7,0.278012149950325
EPHB6,0.463255839668177,0.66684965534003,0.5,0.336434167255868
EPHX2,0.215780047574996,0.8962012063366,0.9,0.169329821348005
EPO,-0.201136814147424,0.98902489961511,0.9,0.124360308975419
